node	Location	genotype
AF022434	South-eastern Asia	AsianI
n243	South-eastern Asia	AsianI
n246	South-eastern Asia	AsianI
JX966379	Central America	American
AF100469	Central America	American
n26	South-eastern Asia	Cosmopolitan
n27	South-eastern Asia	Cosmopolitan
AY858035	South-eastern Asia	Cosmopolitan
JN851130	South-eastern Asia	Cosmopolitan
n36	South-eastern Asia	Cosmopolitan
JX470186	Eastern Asia	Cosmopolitan
n49	Southern Asia	Cosmopolitan
n50	Southern Asia	Cosmopolitan
n52	Southern Asia	Cosmopolitan
n54	Southern Asia	Cosmopolitan
n64	South America	AsianAmerican
n74	South America	AsianAmerican
n67	South America	AsianAmerican
EU569708	Caribbean	AsianAmerican
n77	Caribbean	AsianAmerican
FJ898450	Caribbean	AsianAmerican
n98	Caribbean	AsianAmerican
EU482576	Caribbean	AsianAmerican
n118	South America	AsianAmerican
EU920828	South America	AsianAmerican
n201	Caribbean	AsianAmerican
EU920833	South America	AsianAmerican
n182	Caribbean	AsianAmerican
n183	Caribbean	AsianAmerican
EU482546	Caribbean	AsianAmerican
EU677142	Caribbean	AsianAmerican
n205	South America	AsianAmerican
n208	South America	AsianAmerican
FJ639697	South-eastern Asia	AsianAmerican
FJ639702	South-eastern Asia	AsianAmerican
n216	South-eastern Asia	AsianAmerican
FM210218	South-eastern Asia	AsianAmerican
n219	South-eastern Asia	AsianAmerican
EU482449	South-eastern Asia	AsianAmerican
n224	South-eastern Asia	AsianAmerican
FM210237	South-eastern Asia	AsianAmerican
FM210222	South-eastern Asia	AsianAmerican
FM210217	South-eastern Asia	AsianAmerican
FM210234	South-eastern Asia	AsianAmerican
AF169680	South-eastern Asia	AsianI
AF169679	South-eastern Asia	AsianI
n255	South-eastern Asia	AsianI
AF100461	South-eastern Asia	AsianI
n244	South-eastern Asia	AsianI
EU687246	South-eastern Asia	AsianI
n247	South-eastern Asia	AsianI
n249	South-eastern Asia	AsianI
JN851126	South-eastern Asia	Cosmopolitan
JN851127	South-eastern Asia	Cosmopolitan
n28	South-eastern Asia	Cosmopolitan
HM488257	Oceania	Cosmopolitan
EU482640	South-eastern Asia	Cosmopolitan
EU179859	South-eastern Asia	Cosmopolitan
FJ898454	Southern Asia	Cosmopolitan
DQ448231	Southern Asia	Cosmopolitan
JQ955624	Southern Asia	Cosmopolitan
KF479233	Eastern Asia	Cosmopolitan
n53	Southern Asia	Cosmopolitan
KJ830750	Western Asia	Cosmopolitan
KJ010186	Southern Asia	Cosmopolitan
KJ010185	Southern Asia	Cosmopolitan
AF100466	South America	AsianAmerican
GQ868595	South America	AsianAmerican
n75	South America	AsianAmerican
GQ868552	South America	AsianAmerican
n68	South America	AsianAmerican
n73	South America	AsianAmerican
n78	Caribbean	AsianAmerican
n95	Caribbean	AsianAmerican
n99	Caribbean	AsianAmerican
EU482575	Caribbean	AsianAmerican
n137	Central America	AsianAmerican
n120	South America	AsianAmerican
n124	South America	AsianAmerican
EU677145	Caribbean	AsianAmerican
FJ898460	Caribbean	AsianAmerican
AF208496	Caribbean	AsianAmerican
AY702039	Caribbean	AsianAmerican
n184	Caribbean	AsianAmerican
EU482726	Caribbean	AsianAmerican
JN819419	South America	AsianAmerican
n207	South America	AsianAmerican
FJ850085	South America	AsianAmerican
EU920835	South America	AsianAmerican
EU920834	South America	AsianAmerican
n217	South-eastern Asia	AsianAmerican
FM210220	South-eastern Asia	AsianAmerican
FM210241	South-eastern Asia	AsianAmerican
FM210221	South-eastern Asia	AsianAmerican
n225	South-eastern Asia	AsianAmerican
FM210235	South-eastern Asia	AsianAmerican
n256	South-eastern Asia	AsianI
FJ906957	South-eastern Asia	AsianI
n245	South-eastern Asia	AsianI
DQ181798	South-eastern Asia	AsianI
n248	South-eastern Asia	AsianI
AF100460	South-eastern Asia	AsianI
FJ687434	South-eastern Asia	AsianI
