node	Africa	Caribbean	Central America	Eastern Asia	Europe	Oceania	South America	South-eastern Asia	Southern Asia	Western Asia
AY858036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
GU370051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
JN851121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n34	2.718794117459798e-07	9.220827600443168e-07	2.830522907579275e-07	1.4867742499181286e-06	1.288432889950392e-07	5.192058895077801e-07	9.927561666522233e-07	0.9999949771813653	2.8950981692454607e-07	1.2871476010863372e-07
n35	1.6601644495745962e-07	5.630470538243766e-07	1.7283888745716474e-07	1.8048484928441702e-05	7.86749708564259e-08	3.1704027484957974e-07	6.062020233114975e-07	0.9999797923169123	1.767820162548037e-07	7.859648786774223e-08
JN851129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
JN851128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n48	1.1830301196829459e-08	4.012262903494855e-08	1.231646718893095e-08	7.544507037789552e-07	5.6063638883547694e-09	2.2592229182590566e-08	4.3197844187871025e-08	2.7702345450067955e-08	0.9999990765752441	5.605872100090364e-09
n51	2.334671547499058e-09	7.918070627305534e-09	2.430614828254867e-09	1.245535198110512e-08	1.106397718647322e-09	4.458503109015959e-09	8.524954357532513e-09	5.466967803764835e-09	0.9999996787234355	2.7658103244088763e-07
n63	1.4471542186557104e-09	6.284302416020987e-05	1.5066249924553618e-09	7.718926820671795e-09	6.858044454975608e-10	2.7636185441323773e-09	0.9999371372388732	3.3887201469413313e-09	1.5409969817798558e-09	6.851203145477901e-10
n76	1.1902420423648208e-07	0.9999459873099702	1.239155015415405e-07	6.348591675325378e-07	5.640541093331729e-08	2.2729954692307186e-07	5.2389365495266806e-05	2.7872906290149885e-07	1.2674249741270628e-07	5.6349143162515665e-08
n97	2.7637878243463004e-08	0.9999995221264776	2.8773656299573034e-08	1.4741674169329908e-07	1.3097553473667629e-08	5.277982944182415e-08	1.0093499085661588e-07	6.471828902783808e-08	2.9430095570408904e-08	1.3084487880762193e-08
GQ868603	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ398284	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU529701	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n117	5.832104790526768e-06	0.028859324580348764	4.536394482737376e-05	3.110766600282318e-05	2.763826647077235e-06	1.1137522692871723e-05	0.9710218422804683	1.365670877909407e-05	6.210295878400477e-06	2.76106956470269e-06
n179	7.110329546839801e-10	0.9999909486460832	7.407243163649052e-10	3.7925545691915166e-09	3.369575646682e-10	1.3578538028060975e-09	9.041656045795114e-06	1.6649856801519647e-09	7.57140892781358e-10	3.3662142934527784e-10
n202	2.9821443478566055e-07	0.9999794161870422	3.10512808782887e-07	1.590635862648055e-06	1.4132342113304862e-07	5.694976606323459e-07	1.6516581929000734e-05	6.983118264229851e-07	3.175525717984276e-07	1.4118244256844568e-07
n204	5.215596240736576e-06	0.004044732801864118	5.4299340594253675e-06	2.7819291952015805e-05	2.4716640712557576e-06	9.960181370954775e-06	0.9958841344573288	1.2213065714650972e-05	5.5538089593076475e-06	2.46919843852374e-06
EU482545	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n231	1.7127038248740963e-07	5.808658822017306e-07	1.783087354452571e-07	9.135343155853099e-07	8.116480481325451e-08	3.270736452489477e-07	6.253865538668939e-07	0.9999968589351891	1.823766532845106e-07	8.108383806629132e-08
JX649148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n215	1.1748953370942515e-08	3.984673687759296e-08	1.2231776375772447e-08	6.266734828127932e-08	5.567813262653121e-09	2.2436879907591312e-08	4.290080604415298e-08	0.9999997845265958	1.251083087967346e-08	5.562259035933638e-09
n218	1.2733946075427999e-08	4.3187353183835066e-08	1.3257247335835241e-08	6.792116811960092e-08	6.0345999857338615e-09	2.4317912398200063e-08	4.6497465221858644e-08	0.9999997664620308	1.355969683020449e-08	6.028580111341345e-09
FM210204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
FM210227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n223	2.2815090292761505e-08	7.737769253210131e-08	2.3752675974040618e-08	1.216926505601117e-07	1.081204072482182e-08	4.356979084325664e-08	8.33083367196186e-08	0.9999995815759001	2.4294567113970068e-08	1.0801255067571286e-08
