node	American	AsianAmerican	AsianI	AsianII	Cosmopolitan	Sylvatic
EU569708	0.0	1.0	0.0	0.0	0.0	0.0
n141	2.9132719584618e-09	0.9999999928079736	1.0340989835567662e-09	9.07998087787288e-10	1.019270809726152e-09	1.3173865334672617e-09
n142	5.996394295707654e-12	0.9999999999851965	2.1284882889790064e-12	1.868934528514099e-12	2.097967425070165e-12	2.7115796970414394e-12
n154	3.997770449123569e-11	0.9999999999013065	1.4190540453747228e-11	1.2460106625724501e-11	1.3987059158489791e-11	1.8077985950716083e-11
EU482575	0.0	1.0	0.0	0.0	0.0	0.0
n24	5.4147854796895634e-11	0.9999999998663245	1.922039631233534e-11	1.6876607922085154e-11	1.894479080247173e-11	2.4485752014458327e-11
n65	2.8639885481095555e-10	0.9999999992929639	1.0166052770720561e-10	8.92637612350212e-11	1.0020279493643195e-10	1.2951004915023817e-10
EU677142	0.0	1.0	0.0	0.0	0.0	0.0
EU482546	0.0	1.0	0.0	0.0	0.0	0.0
n86	6.450694286678916e-10	0.99999999840751	2.2897472327342192e-10	2.010529109783981e-10	2.2569140411973983e-10	2.91701492546956e-10
n90	3.614005274931939e-09	0.9999999910780656	1.282832236283619e-09	1.1264001183823572e-09	1.2644374213794371e-09	1.6342593307316229e-09
EU920835	0.0	1.0	0.0	0.0	0.0	0.0
EU920834	0.0	1.0	0.0	0.0	0.0	0.0
JN819419	0.0	1.0	0.0	0.0	0.0	0.0
n113	5.770768166607122e-09	0.9999999857536415	2.048399730789643e-09	1.7986121910532667e-09	2.0190272744138894e-09	2.6095511777979673e-09
FJ850085	0.0	1.0	0.0	0.0	0.0	0.0
n177	2.5546662789744112e-11	0.9999999999369328	9.068078116699085e-12	7.962291541583418e-12	8.938048940820977e-12	1.1552244209949184e-11
FM210213	0.0	1.0	0.0	0.0	0.0	0.0
n180	1.081044835090803e-09	0.9999999973312129	3.8372914710026746e-10	3.369361515056675e-10	3.782267700672241e-10	4.888503121333835e-10
FM210243	0.0	1.0	0.0	0.0	0.0	0.0
n185	2.9379683426056926e-10	0.9999999992747006	1.0428652452054651e-10	9.156953671976032e-11	1.0279113700120539e-10	1.3285542797161268e-10
FM210218	0.0	1.0	0.0	0.0	0.0	0.0
n188	1.2125735467174179e-09	0.9999999970065065	4.304167577550689e-10	3.779305455356511e-10	4.2424491675626393e-10	5.483278191558128e-10
EU482449	0.0	1.0	0.0	0.0	0.0	0.0
n206	3.7771151177344926e-09	1.8435576357273026e-09	0.9999999901725667	1.1772376053989144e-09	1.3215049056095896e-09	1.7080178790058118e-09
AF100461	0.0	0.0	1.0	0.0	0.0	0.0
n290	1.0672465190905203e-09	5.209082615021899e-10	0.9999999972231999	3.326355425613925e-10	3.733991330713848e-10	4.826106907238464e-10
EU687246	0.0	0.0	1.0	0.0	0.0	0.0
n293	3.5299020104605585e-09	1.7228963380541481e-09	0.9999999908157746	1.1001871165049066e-09	1.2350120866696566e-09	1.5962276915249166e-09
n295	8.795083133069578e-09	4.2927584046080394e-09	0.9999999771166383	2.7412197627350755e-09	3.0771488671404093e-09	3.977151548305353e-09
JN851127	0.0	0.0	0.0	0.0	1.0	0.0
JN851126	0.0	0.0	0.0	0.0	1.0	0.0
n319	1.4389033878563783e-08	7.023088375838534e-09	5.1075510698435154e-09	4.4847221382451415e-09	0.999999962488859	6.506745587608238e-09
HM488257	0.0	0.0	0.0	0.0	1.0	0.0
EU482640	0.0	0.0	0.0	0.0	1.0	0.0
EU179859	0.0	0.0	0.0	0.0	1.0	0.0
KF479233	0.0	0.0	0.0	0.0	1.0	0.0
JQ955624	0.0	0.0	0.0	0.0	1.0	0.0
n336	3.387642080018312e-09	1.653461234052832e-09	1.2024820482090258e-09	1.055848054909533e-09	0.9999999911686691	1.5318975090741313e-09
n337	2.027429704554916e-10	9.895603909934365e-11	7.196592101960893e-11	6.319019717716299e-11	0.999999999471464	9.168071599269391e-11
n121	9.890016564699063e-09	0.9999999755844078	3.5105737544375524e-09	3.0824846622533744e-09	3.460234861639351e-09	4.4722823079593164e-09
n122	1.7212665539999457e-09	0.9999999957506903	6.109831211437657e-10	5.3647814618357e-10	6.02222099160425e-10	7.783596626332135e-10
AF100466	0.0	1.0	0.0	0.0	0.0	0.0
GQ868595	0.0	1.0	0.0	0.0	0.0	0.0
n143	5.89555088657903e-10	0.9999999985445588	2.0926927750808223e-10	1.8375040187778618e-10	2.0626851909555203e-10	2.6659781359550783e-10
n150	4.711706439302552e-09	0.9999999883681586	1.6724737371492215e-09	1.4685276548505468e-09	1.6484917666648413e-09	2.1306416638374935e-09
n155	1.7640707333676575e-10	0.999999999564502	6.261769509705917e-11	5.4981919829588564e-11	6.171980613039754e-11	7.977157853293293e-11
n166	2.7915405383024587e-09	0.9999999931084934	9.908890328042927e-10	8.700572781737997e-10	9.766804560056434e-10	1.262339378273953e-09
n25	3.2221903112233914e-11	0.9999999999204534	1.1437530629381713e-11	1.0042806448534759e-11	1.1273525350329882e-11	1.457079937883884e-11
n60	8.512601322163439e-10	0.9999999978984848	3.021644563290647e-10	2.653176851604701e-10	2.9783165342032416e-10	3.8494127930695787e-10
n66	6.079580039613526e-10	0.9999999984991275	2.1580160139720738e-10	1.8948615608937248e-10	2.1270717454898e-10	2.749196431888231e-10
n70	4.56003319572223e-09	0.9999999887425962	1.6186355959610638e-09	1.4212546857961433e-09	1.5954256224798228e-09	2.0620547651788753e-09
n87	1.341074971820085e-09	0.9999999966892735	4.760297991419921e-10	4.179814062518786e-10	4.692039026635412e-10	6.064363826776365e-10
n89	6.869519602137496e-09	0.9999999830411419	2.4384140373370544e-09	2.1410670722452998e-09	2.403449079638052e-09	3.106408445308208e-09
n91	7.495500783390973e-10	0.9999999981495775	2.6606131703015137e-10	2.3361706271736534e-10	2.622462050135475e-10	3.389478199915902e-10
EU482726	0.0	1.0	0.0	0.0	0.0	0.0
FJ850088	0.0	1.0	0.0	0.0	0.0	0.0
EU920840	0.0	1.0	0.0	0.0	0.0	0.0
n178	4.451615696832828e-10	0.9999999989010248	1.5801515727885704e-10	1.387463511056983e-10	1.5574934302194422e-10	2.0130281877551776e-10
FM210222	0.0	1.0	0.0	0.0	0.0	0.0
n181	6.945994117708514e-10	0.9999999982852348	2.4655595355521816e-10	2.164902373181972e-10	2.43020533255592e-10	3.1409903512586946e-10
FM210235	0.0	1.0	0.0	0.0	0.0	0.0
n186	6.500455568536348e-10	0.9999999983952255	2.3074105651370101e-10	2.026038526484618e-10	2.2743240951737903e-10	2.939517061738524e-10
FM210220	0.0	1.0	0.0	0.0	0.0	0.0
FM210241	0.0	1.0	0.0	0.0	0.0	0.0
FM210221	0.0	1.0	0.0	0.0	0.0	0.0
n207	7.382786183173598e-11	3.6034358013147686e-11	0.9999999998079121	2.3010401474510797e-11	2.5830264246704967e-11	3.338508466032933e-11
FJ906957	0.0	0.0	1.0	0.0	0.0	0.0
n291	6.119632018460018e-09	2.9869077282029245e-09	0.9999999840777225	1.9073448170823827e-09	2.1410847911278577e-09	2.767308004828694e-09
DQ181798	0.0	0.0	1.0	0.0	0.0	0.0
n294	7.938056129131117e-09	3.874455380239825e-09	0.9999999793464819	2.4741046798133055e-09	2.777299549700522e-09	3.5896024797994203e-09
AF100460	0.0	0.0	1.0	0.0	0.0	0.0
FJ687434	0.0	0.0	1.0	0.0	0.0	0.0
FJ639828	0.0	0.0	1.0	0.0	0.0	0.0
KC131142	0.0	0.0	0.0	0.0	1.0	0.0
EU179858	0.0	0.0	0.0	0.0	1.0	0.0
KJ010186	0.0	0.0	0.0	0.0	1.0	0.0
KJ010185	0.0	0.0	0.0	0.0	1.0	0.0
n338	1.3755758870939503e-09	6.71399560544893e-10	4.882762910333017e-10	4.2873452698425323e-10	0.9999999964139759	6.220377552312935e-10
KJ830750	0.0	0.0	0.0	0.0	1.0	0.0
GQ398282	0.0	1.0	0.0	0.0	0.0	0.0
GQ398269	0.0	1.0	0.0	0.0	0.0	0.0
n123	1.8766071220984892e-10	0.9999999995367199	6.661230208394503e-11	5.848941337056351e-11	6.565713356500806e-11	8.486049316750459e-11
GQ398270	0.0	1.0	0.0	0.0	0.0	0.0
n144	1.3822733264662454e-08	0.9999999658756671	4.906536232378035e-09	4.308219607116304e-09	4.836180325142086e-09	6.250663487040544e-09
n145	4.01552045345432e-10	0.9999999990086839	1.4253546110954215e-10	1.2515429198489204e-10	1.40491613636557e-10	1.8158251772128315e-10
n151	1.1976639123183822e-08	0.9999999704331398	4.2512441407117556e-09	3.732835649065588e-09	4.190284611578447e-09	5.4158565770873635e-09
GQ868552	0.0	1.0	0.0	0.0	0.0	0.0
n156	6.057393080583466e-11	0.9999999998504604	2.1501405007661887e-11	1.8879464095929352e-11	2.1193091610080302e-11	2.7391634512871947e-11
n161	9.306981644594473e-11	0.9999999997702375	3.303618884842543e-11	2.9007664429740117e-11	3.256247563650391e-11	4.208632925670786e-11
EU482744	0.0	1.0	0.0	0.0	0.0	0.0
EU482590	0.0	1.0	0.0	0.0	0.0	0.0
n26	5.852028983214688e-11	0.9999999998555303	2.077244180966291e-11	1.8239392690410904e-11	2.0474581176456804e-11	2.6462974572472372e-11
