node	Africa	Caribbean	Central America	Eastern Asia	Oceania	South America	South-eastern Asia	Southern Asia
EU482588.1_EU482588.2	8.726571494725238e-13	0.9999999999894704	8.781632371316374e-13	2.4614258430632205e-12	8.239164898545453e-13	2.8290651045040737e-12	1.7216451492402955e-12	9.42558008242556e-13
EU482588	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
0.566412	1.4699471512612531e-09	2.4223700699550265e-09	1.4792218794566287e-09	4.146148241882397e-09	1.3878459574540993e-09	4.7654181182289374e-09	0.9999999827413569	1.5876916380643825e-09
GQ868638_JF730047.1	1.0317309566581773e-07	1.7002204382044803e-07	1.0382407309623412e-07	2.9101110800980563e-07	9.741055221949363e-08	3.344766095691234e-07	0.9999987886451361	1.1143738135162523e-07
GQ868620	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
GQ868620.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FJ639704_FJ639704.1	2.468902446510335e-10	4.068578511094001e-10	2.484480148819315e-10	6.963811950106402e-10	2.331006442509117e-10	8.003928876385199e-10	0.9999999971012626	2.666664421341827e-10
FJ639710	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
0.999950	2.189127762694243e-09	3.6075294047871966e-09	2.2029402082413616e-09	6.1746765635505e-09	2.066858058943759e-09	7.096928004867454e-09	0.9999999742974606	2.364479457987338e-09
GQ868631_GU131932	1.5183810276338746e-08	2.502185709854918e-08	1.5279613525566008e-08	4.282761337936626e-08	1.4335746487678647e-08	4.9224357850233616e-08	0.99999982172695	1.6400051246069938e-08
GQ199898_GQ199898.2	1.2352612409135723e-13	2.0356241079804166e-13	0.9999999999984303	3.484190719295473e-13	1.1662679968668782e-13	4.0045904324823493e-13	2.4370183923306754e-13	1.3342071116915587e-13
GQ199898.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
GQ199894_GQ199894.2	3.789197174601751e-11	6.2443318571268e-11	0.9999999995184854	1.0687849008816886e-10	3.5775585375673726e-11	1.2284189165505446e-10	7.475619650983605e-11	4.092716302031968e-11
KJ189309_KJ189309.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
KJ189308	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
