node	Location
n243	South-eastern Asia
n258	South-eastern Asia
n259	South-eastern Asia
FJ432726	South-eastern Asia
FJ432726.1	South-eastern Asia
n242	South-eastern Asia
FJ410202	South-eastern Asia
n245	South-eastern Asia
n249	South-eastern Asia
n251	South-eastern Asia
n256	South-eastern Asia
FM210207	South-eastern Asia
FM210207.1	South-eastern Asia
n260	South-eastern Asia
EU482642	South-eastern Asia
FJ390385	South-eastern Asia
GU131899	South-eastern Asia
n246	South-eastern Asia
FJ461309	South-eastern Asia
FJ547067.1	South-eastern Asia
FJ547067	South-eastern Asia
EU677148	South-eastern Asia
n253	South-eastern Asia
FJ859028	South-eastern Asia
FJ410223	South-eastern Asia
FJ410223.1	South-eastern Asia
n261	South-eastern Asia
FJ410195	South-eastern Asia
n247	South-eastern Asia
n248	South-eastern Asia
FJ461311	South-eastern Asia
EU482652	South-eastern Asia
FJ390387	South-eastern Asia
FJ547064	South-eastern Asia
n262	South-eastern Asia
FM210206	South-eastern Asia
FJ410241	South-eastern Asia
FJ410241.1	South-eastern Asia
JF730049	South-eastern Asia
JF730049.1	South-eastern Asia
FJ024452	South-eastern Asia
FJ024452.1	South-eastern Asia
