node	Location
AF100462_EU726767	South-eastern Asia
DQ181803	South-eastern Asia
AF100461_GQ868542	South-eastern Asia
AF022434_EU687246	South-eastern Asia
DQ181802	South-eastern Asia
AF100469_JX966379	Central America
FJ898449	Central America
AF100467	South America
AF100468	South America
FJ196852	Eastern Asia
DQ645550	Eastern Asia
EU179858_JN851127	South-eastern Asia
AY858036	South-eastern Asia
GU370051	South-eastern Asia
JN851121	South-eastern Asia
AY858035_JN851130	South-eastern Asia
EU179859_JX470186	South-eastern Asia
JN851129	South-eastern Asia
JN851128	South-eastern Asia
DQ448231_KF479233	Southern Asia
KF041233_KJ010186	Southern Asia
AF100466_GQ868552	South America
EU482551_FJ898450	Caribbean
EU482561_EU482576	Caribbean
GQ868603	Caribbean
GQ398284	Caribbean
EU529701	Caribbean
EU482444_EU920828	South America
AF208496_FJ898460	Caribbean
EU482546_EU677142	Caribbean
EU920834_JN819419	South America
EU482545	Caribbean
FJ639697_FJ639702	South-eastern Asia
JX649148	South-eastern Asia
EU482664_FM210218	South-eastern Asia
EU482449_FM210241	South-eastern Asia
FM210204	South-eastern Asia
FM210227	South-eastern Asia
FM210208_FM210237	South-eastern Asia
FM210243	South-eastern Asia
FM210217_FM210222	South-eastern Asia
FM210213	South-eastern Asia
EU726767	South-eastern Asia
AF100462	South-eastern Asia
GQ868542	South-eastern Asia
DQ181799	South-eastern Asia
AF169679_AF169680	South-eastern Asia
AF100461_FJ906957	South-eastern Asia
AF022434	South-eastern Asia
DQ181798_EU687246	South-eastern Asia
AF100460_FJ687434	South-eastern Asia
JX966379	Central America
AF100469	Central America
JN851126_JN851127	South-eastern Asia
EU179858_HM488257	South-eastern Asia
AY858035	South-eastern Asia
JN851130	South-eastern Asia
EU179859_EU482640	South-eastern Asia
JX470186	Eastern Asia
DQ448231_FJ898454	Southern Asia
JQ955624_KF479233	Southern Asia
KF041233_KJ830750	Southern Asia
KJ010185_KJ010186	Southern Asia
AF100466_GQ868595	South America
EU687220_GQ868552	South America
AF489932_JX669483	South America
EU569708	Caribbean
EU482551_GQ398282	Caribbean
FJ898450	Caribbean
EU482561_EU482575	Caribbean
EU482576	Caribbean
EU482444_GQ868553	South America
EU920828	South America
EU677145_FJ898460	Caribbean
EU920833	South America
AF208496_AY702039	Caribbean
EU482726_EU920849	Caribbean
EU482546	Caribbean
EU677142	Caribbean
EU920840_JN819419	South America
EU920834_EU920835	South America
