node	Location
AY037116_AY037116.1	Oceania
JQ955623	Southern Asia
JQ922549_JQ922549.3	Southern Asia
FJ898454_KJ010186.1	Southern Asia
FJ898449_FJ898449.1	Central America
AF100469_JX966379	Central America
AF100467	South America
AF100468	South America
EU482561_EU482575.1	Caribbean
EU482576_EU482576.1	Caribbean
EU482554_FJ898450	Caribbean
AF100466_JX669488	Caribbean
EU920834_JN819419	South America
EU482545	Caribbean
EU482444_GQ868553.1	South America
AF208496_EU920849.1	Caribbean
EU677142_EU677142.1	Caribbean
FM210237_FM210237.1	South-eastern Asia
FM210235_FM210235.1	South-eastern Asia
FM210217	South-eastern Asia
FM210222	South-eastern Asia
FM210213.1_FM210213.3	South-eastern Asia
FM210213	South-eastern Asia
EU482664_FM210202	South-eastern Asia
FM210218	South-eastern Asia
FM210221_FM210241	South-eastern Asia
EU482449	South-eastern Asia
FM210204.1	South-eastern Asia
FM210204	South-eastern Asia
AF100462_EU726767.1	South-eastern Asia
DQ181802	South-eastern Asia
AF100461_GQ868542	South-eastern Asia
EU687246_FJ687434.2	South-eastern Asia
DQ181804_DQ181804.2	South-eastern Asia
DQ181804.1	South-eastern Asia
AF204178.1	Eastern Asia
AF204178.2	Eastern Asia
AY858035_JN851129.1	South-eastern Asia
AY858036_JN851127	South-eastern Asia
AY037116_AY037116.2	Oceania
AY037116.1	Oceania
JQ922549	Southern Asia
JQ922549.3	Southern Asia
JQ922549.2	Southern Asia
JQ922549.1	Southern Asia
KF041233_KJ010186.1	Southern Asia
FJ898454_FJ898454.1	Southern Asia
FJ898449_FJ898449.2	Central America
FJ898449.1	Central America
AF100469	Central America
JX966379	Central America
EU482561_EU482744.1	Caribbean
EU482575_EU482575.1	Caribbean
EU482576	Caribbean
EU482576.1	Caribbean
EU482554_GQ398270	Caribbean
FJ898450	Caribbean
AF100466_AF100466.1	South America
FJ850072_JX669488	South America
EU569708	Caribbean
EU920840_JN819419	South America
EU920834_EU920835	South America
EU482605_GQ868553.1	South America
EU482444_GU131959	Central America
AF208496_FJ898460	Caribbean
EU482726_EU920849.1	Caribbean
EU677142.1	Caribbean
EU677142	Caribbean
FM210237	South-eastern Asia
FM210237.1	South-eastern Asia
FM210235_FM210235.2	South-eastern Asia
FM210235.1	South-eastern Asia
FM210213.2_FM210213.3	South-eastern Asia
FM210213.1	South-eastern Asia
EU482664_EU482664.1	South-eastern Asia
FM210202	South-eastern Asia
FM210221	South-eastern Asia
FM210241	South-eastern Asia
AF100462_AF100462.1	South-eastern Asia
EU726767_EU726767.1	South-eastern Asia
GQ868542	South-eastern Asia
AF169679_AF169680	South-eastern Asia
AF100461_FJ906957	South-eastern Asia
EU687246_FJ639831.1	South-eastern Asia
FJ639828_FJ687434.2	South-eastern Asia
DQ181804	South-eastern Asia
DQ181804.2	South-eastern Asia
AY858035_JX470186.1	South-eastern Asia
JN851129_JN851129.1	South-eastern Asia
GU370051	South-eastern Asia
HM488257_JN851127	South-eastern Asia
AY858036_AY858036.1	South-eastern Asia
AY037116.2	Oceania
AY037116	Oceania
KF041233_KJ830750.1	Southern Asia
KJ010185_KJ010186.1	Southern Asia
FJ898454	Southern Asia
FJ898454.1	Southern Asia
FJ898449	Central America
FJ898449.2	Central America
EU482590_EU482744.1	Caribbean
EU482561_GQ398285.1	Caribbean
EU482575	Caribbean
EU482575.1	Caribbean
EU482554_EU482728.2	Caribbean
GQ398270	Caribbean
AF100466.1	South America
