node	Location
EU179858	South-eastern Asia
HM488257	Oceania
0.520890	Southern Asia
KF041233_KJ010186	Southern Asia
JQ922549.1	Southern Asia
JQ922549	Southern Asia
GQ398269_GQ398282	Caribbean
EU482551_EU569714.2	Caribbean
EU687220_FJ898465.2	South America
AF489932_JX669483.1	South America
EU569708	Caribbean
EU482561_EU482590.1	Caribbean
EU482575	Caribbean
EU482576.1	Caribbean
EU482576	Caribbean
EU482603_GQ868558.2	South America
EU920828	South America
0.388774	Caribbean
EU482726_EU920849.1	Caribbean
EU920835	South America
EU920834	South America
JN819419	South America
FJ850085_FJ850085.2	South America
EU920840_FJ850088.1	South America
GQ398284.2	Caribbean
GQ398284.1	Caribbean
FM210221	South-eastern Asia
FM210221.1	South-eastern Asia
FM210235	South-eastern Asia
FM210235.1	South-eastern Asia
EU726767_EU726767.2	South-eastern Asia
AF100462	South-eastern Asia
EU482451_JF730047	South-eastern Asia
AF169679_AF169679.1	South-eastern Asia
0.999768	South-eastern Asia
AF022434	South-eastern Asia
JX470186	Eastern Asia
EU482640	South-eastern Asia
AY858035.1_AY858035.2	South-eastern Asia
AY858035	South-eastern Asia
KF479233	Eastern Asia
DQ448231	Southern Asia
0.348067	Southern Asia
KJ010186	Southern Asia
GQ398282	Caribbean
GQ398269	Caribbean
EU482551_EU569719	Caribbean
EU482554_EU569714.2	Caribbean
FJ898465_FJ898465.2	South America
EU687220	South America
AF489932_JX669488.1	South America
FJ850072_JX669483.1	South America
EU482561_GQ398285	Caribbean
EU482590_EU482590.1	Caribbean
EU482603_GQ868515.1	Central America
0.925543	South America
0.512016	Caribbean
EU920833_EU920833.3	South America
0.999686	Caribbean
EU482726	Caribbean
FJ850085	South America
FJ850085.1	South America
FJ850085.2	South America
FJ850088_FJ850088.1	South America
EU920840	South America
EU726767	South-eastern Asia
EU726767.2	South-eastern Asia
EU726767.1	South-eastern Asia
EU482451_FJ639704	South-eastern Asia
FJ639706_JF730047	South-eastern Asia
AF169679.1	South-eastern Asia
AF169679	South-eastern Asia
0.996636	South-eastern Asia
DQ181798_EU687246.1	South-eastern Asia
AY858035.2	South-eastern Asia
AY858035.1	South-eastern Asia
0.342552	Southern Asia
KJ830750	Western Asia
0.378223	Caribbean
EU482551_EU482565.1	Caribbean
EU569714_EU569714.2	Caribbean
EU482554_EU677144.1	Caribbean
FJ898465.1_FJ898465.2	South America
FJ898465	South America
JX669488_JX669488.1	South America
AF489932	South America
0.920292	South America
JX669483_JX669483.1	South America
0.749809	Caribbean
EU482561_GQ398297.1	Caribbean
EU482590.1	Caribbean
EU482590	Caribbean
FJ898439_GQ868515.1	Central America
0.881435	Central America
EU482603_GQ868604	Central America
0.978584	South America
FJ024473_GQ868558.2	South America
EU677145	Caribbean
AY702039	Caribbean
EU920833.1_EU920833.3	South America
EU920833	South America
EU687216_JX669476	Caribbean
EU920849_EU920849.1	Caribbean
FJ850088	South America
FJ850088.1	South America
FJ639704	South-eastern Asia
EU482451_GU131924	South-eastern Asia
FJ810411_FJ810411.2	South-eastern Asia
GQ868638_JF730047	South-eastern Asia
FJ639706_FJ639706.1	South-eastern Asia
FJ639828	South-eastern Asia
AF100460	South-eastern Asia
EU687246_EU687246.1	South-eastern Asia
DQ181798	South-eastern Asia
KF041233	Southern Asia
KF360005	Southern Asia
EU482728_EU482728.3	Caribbean
EU569719	Caribbean
EU482551_EU677143	Caribbean
EU482565_EU482565.1	Caribbean
EU569714.1_EU569714.2	Caribbean
EU569714	Caribbean
EU677144_EU677144.1	Caribbean
EU482554	Caribbean
FJ898465.2	South America
FJ898465.1	South America
JX669488	South America
JX669488.1	South America
JX669484_KC294201	South America
FJ850072	South America
JX669483	South America
JX669483.1	South America
GQ398285	Caribbean
EU482740	Caribbean
0.999993	Caribbean
0.983469	Caribbean
GQ868515_GQ868515.1	Central America
FJ898439	Central America
FJ850061_GU369819.1	Central America
EU482635_FJ850066.1	Central America
EU596500_GQ868604	Central America
EU482603_EU482634.1	Central America
KJ189370	Central America
0.998970	South America
EU482607_KJ189305	South America
GQ868555_GQ868558.2	South America
FJ024473_HQ332189	South America
EU920833.2_EU920833.3	South America
EU920833.1	South America
EU920842_JX669476	Caribbean
EU920842_JX669476	South America
EU687216_EU687216.2	Caribbean
EU920849.1	Caribbean
EU920849	Caribbean
EU482451_FJ639707	South-eastern Asia
FJ639718_GU131924	South-eastern Asia
FJ810411.1_FJ810411.2	South-eastern Asia
FJ810411	South-eastern Asia
GQ868638_GQ868638.1	South-eastern Asia
JF730047	South-eastern Asia
FJ639706	South-eastern Asia
FJ639706.1	South-eastern Asia
EU687246.1	South-eastern Asia
EU687246	South-eastern Asia
EU482728.1_EU482728.3	Caribbean
EU482728	Caribbean
EU482551_EU482552	Caribbean
EU677143	Caribbean
EU482565.1	Caribbean
EU482565	Caribbean
EU569714.1	Caribbean
EU569714.2	Caribbean
EU677144.1	Caribbean
EU677144	Caribbean
KC294201	South America
