node	Location
FJ410291_FJ410291.1	Central America
EU482635	Central America
JF357906.1	Central America
JF357906	Central America
GU131881_GU131881.1	South America
0.835	South America
EU529706_EU529706.2	Caribbean
EU596490_EU596490.1	Caribbean
EU482469_EU482541	South-eastern Asia
FM210211	South-eastern Asia
EU482669_FM210214	South-eastern Asia
EU482451_FJ410221	South-eastern Asia
EU482467_EU482676	South-eastern Asia
EU482464_EU482658	South-eastern Asia
GQ868631_GQ868631.1	South-eastern Asia
KF955402	South-eastern Asia
FJ639718.3	South-eastern Asia
FJ639718.2	South-eastern Asia
FJ639718.1	South-eastern Asia
FJ639718	South-eastern Asia
FJ410291.1	Central America
FJ410291	Central America
GU131881.1	South America
GU131881	South America
JX286520_KC294211	South America
JX669478	South America
EU529706.2	Caribbean
EU529706.1	Caribbean
EU529706	Caribbean
EU596490.1	Caribbean
EU596490	Caribbean
0.784	South-eastern Asia
EU482541	South-eastern Asia
EU482669_EU482669.1	South-eastern Asia
FM210214	South-eastern Asia
0.975	South-eastern Asia
FJ410221	South-eastern Asia
0.435	South-eastern Asia
EU482676	South-eastern Asia
0.232	South-eastern Asia
EU482658	South-eastern Asia
GQ868631.1	South-eastern Asia
GQ868631	South-eastern Asia
JX286520	South America
KC294211	South America
0.418	South-eastern Asia
FJ410259	South-eastern Asia
EU482669.1	South-eastern Asia
EU482669	South-eastern Asia
EU482451_FJ410224.1	South-eastern Asia
EU482661	South-eastern Asia
0.946	South-eastern Asia
EU482467_FJ205877.1	South-eastern Asia
EU482464	South-eastern Asia
EU482705	South-eastern Asia
EU482469_EU482469.1	South-eastern Asia
FJ432726	South-eastern Asia
0.898	South-eastern Asia
EU482451_EU482451.1	South-eastern Asia
EU482670_EU482670.1	South-eastern Asia
EU482474_EU482656	South-eastern Asia
EU482467_FJ859028.1	South-eastern Asia
0.904	South-eastern Asia
EU482469.1	South-eastern Asia
EU482469	South-eastern Asia
FJ410224_FJ410224.1	South-eastern Asia
FJ410215	South-eastern Asia
EU482451.1	South-eastern Asia
EU482451	South-eastern Asia
EU482670.1	South-eastern Asia
EU482670	South-eastern Asia
EU482474_FJ562098	South-eastern Asia
EU482656	South-eastern Asia
0.945	South-eastern Asia
0.899	South-eastern Asia
FJ024452_FJ205877.1	South-eastern Asia
EU482642	South-eastern Asia
FJ410224.1	South-eastern Asia
FJ410224	South-eastern Asia
EU482699_FJ562098	South-eastern Asia
0.777	South-eastern Asia
EU482654_JF730049.1	South-eastern Asia
0.821	South-eastern Asia
0.959	South-eastern Asia
0.955	South-eastern Asia
FJ205877_FJ205877.1	South-eastern Asia
FJ024452	South-eastern Asia
0.732	South-eastern Asia
EU482699	South-eastern Asia
FJ410217	South-eastern Asia
EU482474	South-eastern Asia
0.915	South-eastern Asia
FJ410241_JF730049.1	South-eastern Asia
EU677148_FJ461311	South-eastern Asia
FJ024454_FJ859028.1	South-eastern Asia
GU131899_GU131899.2	South-eastern Asia
FJ410202_FJ410202.1	South-eastern Asia
EU482679_EU482679.1	South-eastern Asia
EU482467_EU482467.1	South-eastern Asia
FJ205877.1	South-eastern Asia
FJ205877	South-eastern Asia
EU482701_EU482701.1	South-eastern Asia
FJ562098	South-eastern Asia
EU482654_EU482654.1	South-eastern Asia
FJ547067	South-eastern Asia
JF730049_JF730049.1	South-eastern Asia
FJ410241_FJ410241.1	South-eastern Asia
FJ390387_FJ461311	South-eastern Asia
EU677148_EU677148.1	South-eastern Asia
FJ859028_FJ859028.1	South-eastern Asia
FJ024454	South-eastern Asia
GU131899.2	South-eastern Asia
GU131899.1	South-eastern Asia
GU131899	South-eastern Asia
FJ410202.1	South-eastern Asia
FJ410202	South-eastern Asia
EU482679.1	South-eastern Asia
EU482679	South-eastern Asia
EU482467.1	South-eastern Asia
EU482467	South-eastern Asia
EU482701.1	South-eastern Asia
EU482701	South-eastern Asia
EU482654.1	South-eastern Asia
EU482654	South-eastern Asia
JF730049.1	South-eastern Asia
JF730049	South-eastern Asia
FJ410241.1	South-eastern Asia
FJ410241	South-eastern Asia
FJ390387_FJ547064.2	South-eastern Asia
FJ461311	South-eastern Asia
EU677148.1	South-eastern Asia
EU677148	South-eastern Asia
FJ859028.1	South-eastern Asia
FJ859028	South-eastern Asia
FJ390387_FJ410237.1	South-eastern Asia
FJ547064_FJ547064.2	South-eastern Asia
FJ410237_FJ410237.1	South-eastern Asia
FJ390387_FJ390387.1	South-eastern Asia
FJ547064.2	South-eastern Asia
FJ547064.1	South-eastern Asia
FJ547064	South-eastern Asia
FJ410237.1	South-eastern Asia
FJ410237	South-eastern Asia
FJ390387.1	South-eastern Asia
FJ390387	South-eastern Asia
