accession	id	country_code	serotype	genotype	year	Country ISO3	Continent	Country	Sub-region	Region	Int-region	Is Developed	Location
FM210206.1	DENV2_FM210206_Asian_I_VN_2005	VN	DENV2	AsianI	2005.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FM210221.2	DENV2_FM210221_AsianAmerican_VN_2003	VN	DENV2	AsianAmerican	2003.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ810411.2	DENV2_FJ810411_Asian_I_TH_2001	TH	DENV2	AsianI	2001.0	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU920835.1	DENV2_EU920835_AsianAmerican_GF_2002	GF	DENV2	AsianAmerican	2002.0	GUF	Americas	French Guiana	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ898465.1	DENV2_FJ898465_AsianAmerican_VE_1998	VE	DENV2	AsianAmerican	1998.0	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ898465.2	DENV2_FJ898465_AsianAmerican_VE_1998	VE	DENV2	AsianAmerican	1998.0	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ850066.1	DENV2_FJ850066_AsianAmerican_NI_2000	NI	DENV2	AsianAmerican	2000.0	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
FJ850066.2	DENV2_FJ850066_AsianAmerican_NI_2000	NI	DENV2	AsianAmerican	2000.0	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
EU482588.1	DENV2_EU482588_AsianAmerican_PR_1990	PR	DENV2	AsianAmerican	1990.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
JX669483.2	DENV2_JX669483_AsianAmerican_BR_1997	BR	DENV2	AsianAmerican	1997.0	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
EU920840.1	DENV2_EU920840_AsianAmerican_GF_2005	GF	DENV2	AsianAmerican	2005.0	GUF	Americas	French Guiana	Latin America and the Caribbean	Americas	South America	Developing	South America
M84727.1	DENV2_M84727__Asian_I_TH_1984	TH	DENV2	AsianI	1984.0	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ024454.1	DENV2_FJ024454_Asian_I_VN_2007	VN	DENV2	AsianI	2007.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JX286520.1	DENV2_JX286520_AsianAmerican_BR_2010	BR	DENV2	AsianAmerican	2010.0	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
M84727.2	DENV2_M84727__Asian_I_TH_1984	TH	DENV2	AsianI	1984.0	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU482705.1	DENV2_EU482705_Asian_I_VN_2007	VN	DENV2	AsianI	2007.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU482659.2	DENV2_EU482659_Asian_I_VN_2006	VN	DENV2	AsianI	2006.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU920835.2	DENV2_EU920835_AsianAmerican_GF_2002	GF	DENV2	AsianAmerican	2002.0	GUF	Americas	French Guiana	Latin America and the Caribbean	Americas	South America	Developing	South America
GU131947.1	DENV2_GU131947_AsianAmerican_CO_2007	CO	DENV2	AsianAmerican	2007.0	COL	Americas	Colombia	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ850066.3	DENV2_FJ850066_AsianAmerican_NI_2000	NI	DENV2	AsianAmerican	2000.0	NIC	Americas	Nicaragua	Latin America and the Caribbean	Americas	Central America	Developing	Central America
EU687220.1	DENV2_EU687220_AsianAmerican_VE_1996	VE	DENV2	AsianAmerican	1996.0	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
