node	Location	genotype
GQ398263.2	South-eastern Asia	Cosmopolitan
n52	Oceania	Cosmopolitan
n38	South-eastern Asia	Cosmopolitan
n49	Eastern Asia	Cosmopolitan
DQ645550	Eastern Asia	Cosmopolitan
JN851131	South-eastern Asia	Cosmopolitan
n62	South-eastern Asia	AsianI
M84727	South-eastern Asia	AsianI
n65	South-eastern Asia	AsianI
n163	South-eastern Asia	AsianI
n271	Caribbean	AsianAmerican
n304	Caribbean	AsianAmerican
EU482572.1	Caribbean	AsianAmerican
EU482572	Caribbean	AsianAmerican
n174	Caribbean	AsianAmerican
GQ398284	Caribbean	AsianAmerican
n323	South-eastern Asia	AsianAmerican
FJ639701	South-eastern Asia	AsianAmerican
n349	South America	American
JX966379	Central America	American
n352	South America	American
AF100468	South America	American
KF041236.1	Southern Asia	Cosmopolitan
KF041236	Southern Asia	Cosmopolitan
n25	Southern Asia	Cosmopolitan
n27	Southern Asia	Cosmopolitan
AY037116.1	Oceania	Cosmopolitan
AY037116	Oceania	Cosmopolitan
n39	South-eastern Asia	Cosmopolitan
n47	South-eastern Asia	Cosmopolitan
n50	Eastern Asia	Cosmopolitan
FJ196854	Eastern Asia	Cosmopolitan
M84727.2	South-eastern Asia	AsianI
M84727.1	South-eastern Asia	AsianI
n66	South-eastern Asia	AsianI
n156	South-eastern Asia	AsianI
n164	South-eastern Asia	AsianI
n166	South-eastern Asia	AsianI
n272	Caribbean	AsianAmerican
n288	South America	AsianAmerican
n305	Caribbean	AsianAmerican
EU482575	Caribbean	AsianAmerican
n175	Caribbean	AsianAmerican
n188	Caribbean	AsianAmerican
n324	South-eastern Asia	AsianAmerican
n335	South-eastern Asia	AsianAmerican
AF100465.1	South America	American
AF100465	South America	American
AF100467	South America	American
AF100467.1	South America	American
n26	Western Asia	Cosmopolitan
KJ010186	Southern Asia	Cosmopolitan
JQ955624.3	Southern Asia	Cosmopolitan
JQ955624.1	Southern Asia	Cosmopolitan
JQ955624.2	Southern Asia	Cosmopolitan
JQ955624	Southern Asia	Cosmopolitan
n40	South-eastern Asia	Cosmopolitan
n41	South-eastern Asia	Cosmopolitan
n48	South-eastern Asia	Cosmopolitan
KC131142	Eastern Asia	Cosmopolitan
n51	Eastern Asia	Cosmopolitan
FJ196853	Eastern Asia	Cosmopolitan
n67	South-eastern Asia	AsianI
n68	South-eastern Asia	AsianI
n157	South-eastern Asia	AsianI
n160	South-eastern Asia	AsianI
n165	South-eastern Asia	AsianI
AF100462.2	South-eastern Asia	AsianI
EU726767	South-eastern Asia	AsianI
EU726767.1	South-eastern Asia	AsianI
n273	Caribbean	AsianAmerican
n287	Caribbean	AsianAmerican
n289	South America	AsianAmerican
n298	South America	AsianAmerican
n306	Caribbean	AsianAmerican
EU482744	Caribbean	AsianAmerican
n176	South America	AsianAmerican
n187	Caribbean	AsianAmerican
n189	Caribbean	AsianAmerican
n218	Caribbean	AsianAmerican
n325	South-eastern Asia	AsianAmerican
FM210237	South-eastern Asia	AsianAmerican
n336	South-eastern Asia	AsianAmerican
FM210227	South-eastern Asia	AsianAmerican
KJ830750.1	Western Asia	Cosmopolitan
KJ830750	Western Asia	Cosmopolitan
JN851121	South-eastern Asia	Cosmopolitan
JN851128	South-eastern Asia	Cosmopolitan
n42	South-eastern Asia	Cosmopolitan
AY858035	South-eastern Asia	Cosmopolitan
AY858036	South-eastern Asia	Cosmopolitan
AY858036.1	South-eastern Asia	Cosmopolitan
FJ196853.1	Eastern Asia	Cosmopolitan
