node	Loc	RTM184V
node_402	South Africa	
node_403	Central Africa	sensitive
node_403	South Africa	
node_405	South Africa	sensitive
node_407	South Africa	sensitive
node_411	Central Africa	sensitive
node_412	Central Africa	sensitive
node_912	Central Africa	sensitive
node_3597	Central Africa	sensitive
node_83	Southern Africa ex SA	sensitive
node_86	Southern Africa ex SA	sensitive
DQ056405	South Africa	sensitive
node_90	South Africa	sensitive
node_140	Central Africa	sensitive
KC156219	Southern Africa ex SA	sensitive
DQ275661	South Africa	sensitive
FJ199552	South Africa	sensitive
GU326122	Europe	sensitive
EF602192	South Africa	sensitive
AY228557	South Africa	sensitive
HM120026	Central Africa	sensitive
KM050650	Central Africa	sensitive
KM050649	Central Africa	sensitive
node_180	Central Africa	sensitive
node_181	Central Africa	sensitive
node_181	Southern Africa ex SA	
HM120058	Central Africa	sensitive
HM119919	Central Africa	sensitive
node_193	Central Africa	sensitive
node_205	Central Africa	sensitive
KM050080	Central Africa	sensitive
node_207	Central Africa	sensitive
GQ433819	Central Africa	sensitive
HM120082	Central Africa	sensitive
FJ659642	South America	sensitive
node_219	Central Africa	sensitive
HM120094	Central Africa	sensitive
HM119753	Central Africa	sensitive
KM050720	Central Africa	sensitive
HM120106	Central Africa	sensitive
KX907422	East Africa	sensitive
node_240	Southern Africa ex SA	sensitive
node_250	Central Africa	sensitive
node_257	Central Africa	sensitive
node_389	Central Africa	sensitive
node_394	Central Africa	sensitive
HM119838	Central Africa	sensitive
node_401	South Africa	sensitive
EU152428	South Africa	sensitive
HE588149	West Africa	sensitive
DQ164106	South Africa	sensitive
AY901971	South Africa	sensitive
AM071415	Southern Africa ex SA	sensitive
node_406	South Africa	sensitive
node_410	Central Africa	sensitive
GQ399715	Europe	sensitive
EF602616	Southern Africa ex SA	sensitive
KM050123	Central Africa	sensitive
node_907	Central Africa	sensitive
node_911	Central Africa	sensitive
node_950	Central Africa	sensitive
node_3596	Central Africa	sensitive
node_77	Southern Africa ex SA	sensitive
node_82	Southern Africa ex SA	sensitive
node_84	Southern Africa ex SA	sensitive
node_85	Southern Africa ex SA	sensitive
DQ056404	South Africa	sensitive
node_89	South Africa	sensitive
HM120051	Central Africa	sensitive
HM120036	Central Africa	sensitive
GQ399932	Europe	sensitive
node_179	Central Africa	sensitive
GU199551	Southern Africa ex SA	sensitive
EU293449	South Africa	sensitive
node_187	Central Africa	sensitive
node_187	South Africa	
node_192	Central Africa	sensitive
node_203	Central Africa	sensitive
node_204	Central Africa	sensitive
HM120018	Central Africa	sensitive
KM050380	Central Africa	sensitive
node_217	Central Africa	sensitive
node_218	Central Africa	sensitive
AF443112	Southern Africa ex SA	sensitive
EF602584	Southern Africa ex SA	sensitive
node_247	Central Africa	sensitive
node_249	Central Africa	sensitive
node_255	Central Africa	sensitive
node_256	Central Africa	sensitive
node_353	Central Africa	sensitive
node_388	South Africa	sensitive
node_390	Central Africa	sensitive
node_393	Central Africa	sensitive
node_399	South Africa	sensitive
node_400	South Africa	sensitive
EF602248	South Africa	sensitive
EF602210	South Africa	sensitive
DQ465237	North America	sensitive
HM119834	Central Africa	sensitive
node_897	Central Africa	sensitive
node_906	Central Africa	sensitive
node_906	South Africa	
node_908	Central Africa	sensitive
node_908	South Africa	
node_910	Central Africa	sensitive
node_914	Central Africa	sensitive
node_949	Central Africa	sensitive
node_951	Central Africa	sensitive
node_3595	Central Africa	sensitive
FJ199563	South Africa	sensitive
node_76	Southern Africa ex SA	sensitive
node_79	Southern Africa ex SA	sensitive
node_81	South Africa	sensitive
node_81	Southern Africa ex SA	
AY829329	Southern Africa ex SA	sensitive
GQ999972	South Africa	sensitive
AY829269	Southern Africa ex SA	sensitive
AY136973	South Africa	sensitive
DQ396387	South Africa	sensitive
AY703909	South Africa	sensitive
HM119634	Central Africa	sensitive
JF683770	Europe	sensitive
EU244692	South Africa	sensitive
EU244690	South Africa	sensitive
node_191	Central Africa	sensitive
HM119721	Central Africa	sensitive
HM120008	Central Africa	sensitive
node_202	Central Africa	sensitive
KX907407	East Africa	sensitive
KM050408	Central Africa	sensitive
HM120150	Central Africa	sensitive
node_216	Central Africa	sensitive
HM120063	Central Africa	sensitive
HM119624	Central Africa	sensitive
HM119786	Central Africa	sensitive
node_246	Central Africa	sensitive
node_248	Central Africa	sensitive
node_248	North America	
node_248	Southern Africa ex SA	
KM050494	Central Africa	sensitive
KM050027	Central Africa	sensitive
node_254	Central Africa	sensitive
HM120092	Central Africa	sensitive
HM120074	Central Africa	sensitive
node_340	Central Africa	sensitive
node_352	Central Africa	sensitive
GU199558	Southern Africa ex SA	sensitive
node_387	South Africa	sensitive
DQ396379	South Africa	sensitive
GQ433814	Central Africa	sensitive
node_392	Central Africa	sensitive
KM050328	Central Africa	sensitive
DQ164113	South Africa	sensitive
DQ056409	South Africa	sensitive
KC156125	South Africa	sensitive
AY463234	South Africa	sensitive
node_557	Central Africa	sensitive
node_896	Central Africa	sensitive
EU293450	South Africa	sensitive
node_905	South Africa	sensitive
AM071419	Southern Africa ex SA	sensitive
AY589934	South Africa	sensitive
node_909	Central Africa	sensitive
KM050631	Central Africa	sensitive
GU199554	Southern Africa ex SA	sensitive
node_913	Central Africa	sensitive
node_943	Central Africa	sensitive
node_948	Central Africa	sensitive
node_948	Southern Africa ex SA	
AF338984	Europe	sensitive
KM050636	Central Africa	sensitive
node_963	Central Africa	sensitive
node_3594	Central Africa	sensitive
node_74	Southern Africa ex SA	sensitive
