node	Location
AF100466_GQ868603	Caribbean
FM210202_FM210234.1	South-eastern Asia
FJ639697_JX649148	South-eastern Asia
AF119661	Eastern Asia
AF119661.1	Eastern Asia
AF100460_DQ181804	South-eastern Asia
AJ487271	South-eastern Asia
AF204178	Eastern Asia
M29095	Oceania
DQ448231_KJ010186	Southern Asia
JQ922549	Southern Asia
KF041236	Southern Asia
AF276619	Eastern Asia
AB189123_AB189123.1	South-eastern Asia
JN851131	South-eastern Asia
AY858035_GU370051	South-eastern Asia
JN851126_JN851127	South-eastern Asia
GQ868600	Caribbean
GQ868600.1	Caribbean
AF100465_JX966379	South America
AF100468_GQ868592	South America
EU482444_EU920828.1	South America
AF208496_EU482546	Caribbean
EU482545_EU482545.2	Caribbean
EU920835_JN819419	South America
EU482572_EU482572.1	Caribbean
GQ398284	Caribbean
GQ868603	Caribbean
EU482561_EU482576	Caribbean
AF100466_FJ898450.1	Caribbean
FM210202_FM210241.1	South-eastern Asia
FM210208_FM210234.1	South-eastern Asia
FJ639697_FJ639702.1	South-eastern Asia
JX649148	South-eastern Asia
AF100460_DQ181805	South-eastern Asia
DQ181804	South-eastern Asia
DQ448231_KF479233	Southern Asia
KF041233_KJ010186	Southern Asia
AB189123	South-eastern Asia
AB189123.1	South-eastern Asia
GU370051	South-eastern Asia
EU081180_JN851129	South-eastern Asia
AY858035_JX470186	South-eastern Asia
JN851126_JN851126.2	South-eastern Asia
JN851127	South-eastern Asia
AF100465	South America
JX966379	Central America
AF100468	South America
GQ868592	South America
EU920828_EU920828.1	South America
EU482444_KJ189305	South America
AF208496_FJ898451	Caribbean
EU482546	Caribbean
EU482545.1_EU482545.2	Caribbean
EU482545	Caribbean
EU920835_EU920835.1	South America
EU920840_JN819419	South America
EU482572.1	Caribbean
EU482572	Caribbean
EU482561_EU482575	Caribbean
EU482576	Caribbean
AF100466_JX669483	South America
EU482551_FJ898450.1	Caribbean
FM210221_FM210241.1	South-eastern Asia
FM210202_FM210218	South-eastern Asia
FM210208_FM210237	South-eastern Asia
FM210222_FM210234.1	South-eastern Asia
FJ639697_FJ639697.1	South-eastern Asia
FJ639702_FJ639702.1	South-eastern Asia
AF100460_GQ868542	South-eastern Asia
DQ181805	South-eastern Asia
JQ955624_KF479233	Southern Asia
DQ448231_FJ898454.1	Southern Asia
KF041233_KF041233.1	Southern Asia
KJ010185_KJ010186	Southern Asia
EU081180	South-eastern Asia
JN851129	South-eastern Asia
AY858035_JN851130	South-eastern Asia
EU179859_JX470186	South-eastern Asia
JN851126.1_JN851126.2	South-eastern Asia
JN851126	South-eastern Asia
EU920828	South America
EU920828.1	South America
EU482444_FJ898461	Central America
