node	Location
JX669483_KC294222.1	South America
EU482551_EU569719	Caribbean
GQ398270_GQ398270.1	Caribbean
GQ398282	Caribbean
GQ398282.1	Caribbean
0.969801	Caribbean
EU482561_GQ398308.2	Caribbean
EU482605_FJ898461.1	South America
EU920828	South America
EU677145_FJ898460.2	Caribbean
EU920833	South America
AF208496_AY702039.1	Caribbean
EU482726_EU920849.2	Caribbean
EU482546	Caribbean
EU677142	Caribbean
EU920834_EU920835.2	South America
EU920840_JN819419.1	South America
EU482545.1	Caribbean
EU482545	Caribbean
FM210208_FM210237	South-eastern Asia
FM210243	South-eastern Asia
FM210234_FM210234.2	South-eastern Asia
FM210217_FM210217.1	South-eastern Asia
FM210202_FM210218	South-eastern Asia
EU482449_FM210241	South-eastern Asia
EU482451_FJ906957.1	South-eastern Asia
DQ181799	South-eastern Asia
GQ868542.1	South-eastern Asia
GQ868542	South-eastern Asia
AF100460_AF100464.1	South-eastern Asia
FJ639828	South-eastern Asia
DQ181798_FJ196851.1	South-eastern Asia
EU687246	South-eastern Asia
AF100462.2	South-eastern Asia
AF100462.1	South-eastern Asia
FJ196853.2	Eastern Asia
FJ196853.1	Eastern Asia
AY858036.1	South-eastern Asia
AY858036	South-eastern Asia
JN851121	South-eastern Asia
JN851128	South-eastern Asia
EU179859_JX470186	South-eastern Asia
AY858035	South-eastern Asia
EU687220_EU687220.1	South America
FJ898465_FJ898465.2	South America
GQ868552.1	South America
GQ868552	South America
GQ868595_GQ868595.1	South America
EU569708	Caribbean
0.998204	South America
JX669483_JX669483.2	South America
EU482729_EU569719	Caribbean
EU482551_EU677143	Caribbean
GQ398270	Caribbean
GQ398270.1	Caribbean
0.995586	Caribbean
EU482587	Caribbean
0.836638	Caribbean
GQ398308_GQ398308.2	Caribbean
EU482634_FJ898461.1	Central America
0.911840	South America
EU677145_EU677145.2	Caribbean
FJ898460_FJ898460.2	Caribbean
AY702039_AY702039.1	Caribbean
AF208496	Caribbean
0.999940	Caribbean
EU482726	Caribbean
EU920835_EU920835.2	South America
EU920834	South America
FJ850085_JN819419.1	South America
EU920840_FJ850088.2	South America
0.994202	South-eastern Asia
FM210237	South-eastern Asia
FM210234.1_FM210234.2	South-eastern Asia
FM210234	South-eastern Asia
FM210217	South-eastern Asia
FM210217.1	South-eastern Asia
FM210202_FM210220	South-eastern Asia
FM210218	South-eastern Asia
FM210221_FM210241	South-eastern Asia
EU482449	South-eastern Asia
EU482451_GQ868638	South-eastern Asia
FJ906957_FJ906957.1	South-eastern Asia
AF100464_AF100464.1	South-eastern Asia
AF100460	South-eastern Asia
FJ196851_FJ196851.1	Eastern Asia
DQ181798	South-eastern Asia
EU179859_EU482640.2	South-eastern Asia
JX470186	Eastern Asia
EU687220	South America
EU687220.1	South America
FJ898465.1_FJ898465.2	South America
FJ898465	South America
GQ868595.1	South America
GQ868595	South America
JX669486_KC294222.1	South America
JX669484	South America
JX669483.1_JX669483.2	South America
JX669483	South America
EU569719	Caribbean
EU482729	Caribbean
EU482551_EU482556	Caribbean
EU677143	Caribbean
GQ398291_GQ398291.1	Caribbean
EU482588_EU482588.1	Caribbean
GQ398285	Caribbean
0.952503	Caribbean
EU482561_GQ398302	Caribbean
GQ398308	Caribbean
GQ398308.2	Caribbean
GQ398308.1	Caribbean
0.389452	Central America
0.979808	Central America
EU482634_JF357906	Central America
0.972694	South America
EU482605_GU131947.1	South America
EU677145.1_EU677145.2	Caribbean
EU677145	Caribbean
FJ898460.1_FJ898460.2	Caribbean
FJ898460	Caribbean
AY702039.1	Caribbean
AY702039	Caribbean
0.910999	Caribbean
EU920849_EU920849.2	Caribbean
EU920835.1_EU920835.2	South America
EU920835	South America
JN819419_JN819419.1	South America
FJ850085	South America
EU920840_EU920840.1	South America
FJ850088_FJ850088.2	South America
0.996024	South-eastern Asia
FM210235_FM210235.2	South-eastern Asia
FM210234.1	South-eastern Asia
FM210234.2	South-eastern Asia
FM210202	South-eastern Asia
FM210220	South-eastern Asia
FM210221_FM210221.2	South-eastern Asia
FM210241	South-eastern Asia
EU482451_FJ639704.1	South-eastern Asia
FJ687442_GQ868638	South-eastern Asia
FJ906957.1	South-eastern Asia
FJ906957	South-eastern Asia
AF100464	South-eastern Asia
AF100464.1	South-eastern Asia
FJ196851	Eastern Asia
FJ196851.1	Eastern Asia
EU482640_EU482640.2	South-eastern Asia
EU179859_EU179859.1	South-eastern Asia
FJ898465.1	South America
FJ898465.2	South America
KC294222_KC294222.1	South America
JX669486	South America
JX669483.1	South America
JX669483.2	South America
0.999390	Caribbean
EU482551_EU482721	Caribbean
EU529706_EU596490.1	Caribbean
GQ398291.1	Caribbean
GQ398291	Caribbean
EU482588.1	Caribbean
EU482588	Caribbean
GQ398297_GQ398297.1	Caribbean
GQ398296	Caribbean
EU482561_EU482561.1	Caribbean
GQ398302	Caribbean
FJ898438_GQ868515.1	Central America
FJ898461_FJ898461.1	Central America
EU482639_GQ199898	Central America
GU369819_KJ189308	Central America
EU482634_EU482693	Central America
EU482687_JF357906	Central America
EU482607_KJ189305	South America
0.998896	South America
EU482605_JN819407	South America
GU131947_GU131947.1	South America
EU677145.2	Caribbean
EU677145.1	Caribbean
FJ898460.2	Caribbean
FJ898460.1	Caribbean
EU920842_FJ898453	Caribbean
FJ898451	Caribbean
EU920849.1_EU920849.2	Caribbean
EU920849	Caribbean
EU920835.2	South America
EU920835.1	South America
JN819419	South America
JN819419.1	South America
EU920840.1	South America
EU920840	South America
FJ850088	South America
FJ850088.1	South America
FJ850088.2	South America
FM210236	South-eastern Asia
FM210208	South-eastern Asia
FM210235.1_FM210235.2	South-eastern Asia
FM210235	South-eastern Asia
FM210221	South-eastern Asia
FM210221.1	South-eastern Asia
FM210221.2	South-eastern Asia
FJ639704_FJ639704.1	South-eastern Asia
EU482451_GU131932	South-eastern Asia
FJ810411_FJ810411.2	South-eastern Asia
GQ868623_GQ868638	South-eastern Asia
FJ687442_FJ687442.1	South-eastern Asia
EU482640.1_EU482640.2	South-eastern Asia
EU482640	South-eastern Asia
EU179859	South-eastern Asia
EU179859.1	South-eastern Asia
KC294222	South America
KC294222.1	South America
EU482552_EU482552.1	Caribbean
EU482556	Caribbean
0.999998	Caribbean
EU482721	Caribbean
EU596490_EU596490.1	Caribbean
EU529706	Caribbean
GQ398297.1	Caribbean
GQ398297	Caribbean
EU482561.1	Caribbean
EU482561	Caribbean
0.581255	Central America
FJ898438	Central America
FJ898461.1	Central America
FJ898461	Central America
EU482639_FJ744704.1	Central America
GQ199898	Central America
GU369819_GU369819.1	Central America
KJ189308	Central America
EU482634_EU482634.1	Central America
EU482693	Central America
