node	Africa	Caribbean	Central America	Eastern Asia	Oceania	South America	South-eastern Asia	Southern Asia
n326	1.2140347562135292e-05	6.1272110260613095e-06	3.4653571201888547e-06	1.0161315510378205e-05	4.083939545732142e-06	1.1173212893417633e-05	0.999914004074577	3.884454176506372e-05
n340	0.02640008627371117	0.0007480276816133525	0.0004174994429404761	0.0012330604819112611	0.0005097111996752901	0.0013461347513497018	0.9639002218095586	0.005445258359240207
JQ922552.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
JQ922552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
JQ922550	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n349	0.00011531123597838232	0.9726080553153167	0.0003767783937149945	0.0003238618347657281	0.004791278378155427	0.019567914576798212	0.0002456516370379017	0.0019711486282325188
EU056812	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n10	0.9999999999999966	4.418048964934482e-16	2.6973758530533937e-16	7.593401398520387e-16	2.5470770051396213e-16	8.696758149396245e-16	5.307827272269547e-16	2.895969310904952e-16
EF105389	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n16	5.619631568738111e-07	0.9986538013015868	5.615873366460595e-07	1.692088449856766e-06	5.456941108615269e-07	0.0013362205010123993	5.997897142075665e-06	6.18967204533466e-07
n118	5.511764181957192e-09	0.999999452018557	5.482624291190784e-09	2.38020033200516e-08	6.384432819843703e-09	1.3113147488506243e-07	3.6851795770538624e-07	7.151185815447256e-09
n181	2.409228007175173e-07	7.464522626621339e-06	2.3813558038532328e-07	3.2722745584746675e-05	3.912990840563353e-07	7.688509470444409e-07	0.999957743480731	4.300426455885809e-07
n202	1.5718064005390618e-07	4.812650330271139e-07	1.567340180929909e-07	0.999974964355387	1.5328343247416265e-07	5.053685865547501e-07	2.3408004614442316e-05	1.7380828818864676e-07
n205	1.5507799589151414e-06	3.2687147352406657e-06	1.5279575201237292e-06	6.728848846349008e-06	7.65038918925367e-06	4.926604406766077e-06	0.9999711986974161	3.1480079272424943e-06
M84728	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n308	0.0006421508933702105	0.0012365597110329894	0.000635742093756425	0.07371891601125388	0.8897106711067186	0.00204979035098591	0.03093933750327806	0.0010668323296038422
KJ734727	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n312	2.9527576819119856e-07	4.750882693435394e-07	2.887616171825089e-07	7.043624118470423e-06	2.764915561656283e-07	9.310139576973365e-07	2.4709367687761925e-06	0.9999882188079443
n323	3.563140170555059e-05	5.7800161598351605e-05	3.521516557628472e-05	0.004383884466355353	3.347062786723996e-05	0.000113539253779296	0.00017771747945042238	0.9951627414436675
JX475906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
JX475906.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n327	3.6333825402400623e-06	5.316561600557174e-06	3.233483308564093e-06	9.12096965995456e-06	3.0900376781826255e-06	1.0425268213770773e-05	0.999960119511284	5.060785714642573e-06
n329	1.3514023089922849e-07	1.736701532676822e-07	1.050843088240706e-07	2.972667954604952e-07	1.0202021609614406e-07	3.3880936343535304e-07	0.9999986144004898	2.3360844226823156e-07
GU131843	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ398262	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
JQ922553.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
JQ922553.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
JQ922553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n350	1.6065020510759972e-08	0.9999984687704575	2.9496676986686762e-08	4.5117762162828516e-08	2.561175716679309e-07	1.0396111829965943e-06	3.252926596432444e-08	1.1229206211247127e-07
n351	0.00023756523440191944	0.04119544918016104	0.013094076490751151	0.000667170818483522	0.00042029671358427366	0.9435862963696086	0.0004671644056440039	0.0003319807873654207
